# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookups,1746488025455000000,1746488037605000000,1.0
Indexes.allKeys.lookups,1746488025455000000,1746488037605000000,0.0
Indexes.stubs.lookupDuration90PMs,1746488025455000000,1746488037605000000,0.0
Indexes.entries.lookupDuration90PMs,1746488025455000000,1746488037605000000,3.0
Indexes.stubs.lookupDurationMaxMs,1746488025455000000,1746488037605000000,0.0
Indexes.entries.lookupDurationMaxMs,1746488025455000000,1746488037605000000,3.0
Indexes.stubs.lookups,1746488025455000000,1746488037605000000,0.0
Indexes.allKeys.lookupDuration90PMs,1746488025455000000,1746488037605000000,0.0
Indexes.stubs.lookupDurationAvgMs,1746488025455000000,1746488037605000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1746488025455000000,1746488037605000000,0.0
Indexes.entries.lookupDurationAvgMs,1746488025455000000,1746488037605000000,3.0
Indexes.allKeys.lookupDurationMaxMs,1746488025455000000,1746488037605000000,0.0
workspaceModel.updates.precise.ms,1746488025455000000,1746488037605000000,0
workspaceModel.check.recursive.update.ms,1746488025455000000,1746488037605000000,0
workspaceModel.loading.total.ms,1746488025455000000,1746488037605000000,25
workspaceModel.update.unloaded.entities.ms,1746488025455000000,1746488037605000000,0
workspaceModel.collect.changes.ms,1746488025455000000,1746488037605000000,0
workspaceModel.updates.count,1746488025455000000,1746488037605000000,0
workspaceModel.updates.ms,1746488025455000000,1746488037605000000,0
workspaceModel.initializing.ms,1746488025455000000,1746488037605000000,0
workspaceModel.to.snapshot.ms,1746488025455000000,1746488037605000000,0
workspaceModel.loading.from.cache.ms,1746488025455000000,1746488037605000000,19
workspaceModel.init.bridges.ms,1746488025455000000,1746488037605000000,0
workspaceModel.pre.handlers.ms,1746488025455000000,1746488037605000000,0
workspaceModel.replace.project.model.ms,1746488025455000000,1746488037605000000,0
AWTEventQueue.dispatchTime90PNs,1746488025455000000,1746488037605000000,28159
AWTEventQueue.dispatchTimeAvgNs,1746488025455000000,1746488037605000000,369873.55549554416
NonBlockingReadAction.finalizedExecutionTimeUs,1746488025455000000,1746488037605000000,42395
WriteAction.executionsCount,1746488025455000000,1746488037605000000,4
AWTEventQueue.eventsDispatched,1746488025455000000,1746488037605000000,3703
FlushQueue.waitingTimeMaxNs,1746488025455000000,1746488037605000000,8321499135
FlushQueue.executionTimeMaxNs,1746488025455000000,1746488037605000000,27000831
FlushQueue.waitingTime90PNs,1746488025455000000,1746488037605000000,5771362303
