# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushesRetried,1746489253809000000,1746489313822000000,0
IndexesFlusher.totalContentionQuotaSpent,1746489253809000000,1746489313822000000,0
IndexesFlusher.totalFlushes,1746489253809000000,1746489313822000000,58
IndexesFlusher.totalFlushingTimeUs,1746489253809000000,1746489313822000000,448284
FileNameCache.queries,1746489253809000000,1746489313822000000,191
FileNameCache.totalMisses,1746489253809000000,1746489313822000000,5
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1746489253809000000,1746489313822000000,452
FilePageCacheLockFree.totalPagesRequested,1746489253809000000,1746489313822000000,4
FilePageCacheLockFree.heapBytesInUse,1746489253809000000,1746489313822000000,0
DirectByteBufferAllocator.misses,1746489253809000000,1746489313822000000,403
FilePageCacheLockFree.totalBytesWritten,1746489253809000000,1746489313822000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1746489253809000000,1746489313822000000,44496
FilePageCacheLockFree.totalNativeBytesAllocated,1746489253809000000,1746489313822000000,16384
StorageLockContext.competingThreads.max,1746489253809000000,1746489313822000000,2
FilePageCacheLockFree.totalBytesRequested,1746489253809000000,1746489313822000000,32768
FilePageCacheLockFree.totalPagesWritten,1746489253809000000,1746489313822000000,0
FilePageCache.pageHits,1746489253809000000,1746489313822000000,0
FilePageCacheLockFree.totalPagesWriteMs,1746489253809000000,1746489313822000000,0
DirectByteBufferAllocator.disposed,1746489253809000000,1746489313822000000,0
FilePageCacheLockFree.totalPagesReadMs,1746489253809000000,1746489313822000000,2
FilePageCache.maxCacheSizeInBytes,1746489253809000000,1746489313822000000,418398208
FilePageCache.pageFastCacheHits,1746489253809000000,1746489313822000000,8792
FilePageCache.totalPageLoadsUs,1746489253809000000,1746489313822000000,261410
MappedFileStorage.totalTimeSpentOnMappingUs,1746489253809000000,1746489313822000000,376
StreamlinedBlobStorage.recordsRelocated,1746489253809000000,1746489313822000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1746489253809000000,1746489313822000000,120
MappedFileStorage.totalBytesMapped,1746489253809000000,1746489313822000000,98566144
FilePageCacheLockFree.nativeBytesInUse,1746489253809000000,1746489313822000000,16384
FilePageCacheLockFree.housekeeperTimeSpentMs,1746489253809000000,1746489313822000000,252
FilePageCacheLockFree.totalPagesAllocated,1746489253809000000,1746489313822000000,2
FilePageCache.pageLoadsAboveSizeThreshold,1746489253809000000,1746489313822000000,0
FilePageCache.maxRegisteredFiles,1746489253809000000,1746489313822000000,1102
FilePageCacheLockFree.totalBytesRead,1746489253809000000,1746489313822000000,8720
StorageLockContext.competingThreads.avg,1746489253809000000,1746489313822000000,0.01694915254237288
MappedFileStorage.storages,1746489253809000000,1746489313822000000,6
