# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1746488245853000000,1746488305883000000,181
FileNameCache.totalMisses,1746488245853000000,1746488305883000000,1
AWTEventQueue.eventsDispatched,1746488245853000000,1746488305883000000,16525
FlushQueue.waitingTimeMaxNs,1746488245853000000,1746488305883000000,754974719
FlushQueue.tasksExecuted,1746488245853000000,1746488305883000000,942
FlushQueue.executionTimeAvgNs,1746488245853000000,1746488305883000000,2025191.4946921444
AWTEventQueue.dispatchTimeMaxNs,1746488245853000000,1746488305883000000,595591167
AWTEventQueue.dispatchTimeAvgNs,1746488245853000000,1746488305883000000,425408.77264750376
FlushQueue.queueSizeAvg,1746488245853000000,1746488305883000000,3.1231422505307855
AWTEventQueue.dispatchTimeTotalNS,1746488245853000000,1746488305883000000,7030961372
FlushQueue.executionTime90PNs,1746488245853000000,1746488305883000000,194559
WriteAction.executionsCount,1746488245853000000,1746488305883000000,1
FlushQueue.waitingTime90PNs,1746488245853000000,1746488305883000000,58982399
AWTEventQueue.dispatchTime90PNs,1746488245853000000,1746488305883000000,442367
FlushQueue.queueSize90P,1746488245853000000,1746488305883000000,7
ReadAction.executionsCount,1746488245853000000,1746488305883000000,657
FlushQueue.executionTimeMaxNs,1746488245853000000,1746488305883000000,595591167
FlushQueue.waitingTimeAvgNs,1746488245853000000,1746488305883000000,2.046483282802548E7
FlushQueue.queueSizeMax,1746488245853000000,1746488305883000000,40
IndexesFlusher.totalFlushingTimeUs,1746488245853000000,1746488305883000000,574893
IndexesFlusher.totalFlushes,1746488245853000000,1746488305883000000,60
IndexesFlusher.totalContentionQuotaSpent,1746488245853000000,1746488305883000000,51
IndexesFlusher.totalFlushesRetried,1746488245853000000,1746488305883000000,2
FilePageCacheLockFree.totalClosedStoragesReclaimed,1746488245853000000,1746488305883000000,0
FilePageCacheLockFree.totalPagesWriteMs,1746488245853000000,1746488305883000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1746488245853000000,1746488305883000000,3
FilePageCache.uncachedFileAccess,1746488245853000000,1746488305883000000,245
StreamlinedBlobStorage.recordsAllocated,1746488245853000000,1746488305883000000,42
FilePageCache.maxCacheSizeInBytes,1746488245853000000,1746488305883000000,418398208
FilePageCacheLockFree.totalBytesRequested,1746488245853000000,1746488305883000000,32768
StreamlinedBlobStorage.recordsRelocated,1746488245853000000,1746488305883000000,0
StorageLockContext.competingThreads.90P,1746488245853000000,1746488305883000000,0
FilePageCacheLockFree.totalPagesAllocated,1746488245853000000,1746488305883000000,2
DirectByteBufferAllocator.reclaimed,1746488245853000000,1746488305883000000,5
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1746488245853000000,1746488305883000000,445
FilePageCache.totalPageLoadsUs,1746488245853000000,1746488305883000000,216148
DirectByteBufferAllocator.misses,1746488245853000000,1746488305883000000,403
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1746488245853000000,1746488305883000000,3012
MappedFileStorage.totalTimeSpentOnMappingUs,1746488245853000000,1746488305883000000,2834
FilePageCache.pageLoadsAboveSizeThreshold,1746488245853000000,1746488305883000000,0
FilePageCacheLockFree.totalBytesRead,1746488245853000000,1746488305883000000,8720
FilePageCache.pageFastCacheHits,1746488245853000000,1746488305883000000,9296
