# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.sync.entities.ms,1746488713395000000,1746488759374000000,0
jps.global.get.libraries.ms,1746488713395000000,1746488759374000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1746488713395000000,1746488759374000000,0
jps.global.get.library.ms,1746488713395000000,1746488759374000000,0
jps.global.get.library.by.name.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1746488713395000000,1746488759374000000,0
jps.save.global.entities.ms,1746488713395000000,1746488759374000000,38
workspaceModel.mutableEntityStorage.collect.changes.ms,1746488713395000000,1746488759374000000,0
jps.global.handle.before.change.events.ms,1746488713395000000,1746488759374000000,0
jps.global.initialize.library.bridges.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1746488713395000000,1746488759374000000,0
workspaceModel.load.cache.metadata.from.file.ms,1746488713395000000,1746488759374000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1746488713395000000,1746488759374000000,0
workspaceModel.save.cache.to.file.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1746488713395000000,1746488759374000000,0
workspaceModel.global.apply.state.to.project.ms,1746488713395000000,1746488759374000000,0
jps.load.initial.state.ms,1746488713395000000,1746488759374000000,6
workspaceModel.mutableEntityStorage.entities.ms,1746488713395000000,1746488759374000000,1
jps.global.initialize.library.bridges.after.loading.ms,1746488713395000000,1746488759374000000,0
jps.app.storage.content.writer.save.component.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1746488713395000000,1746488759374000000,0
workspaceModel.load.cache.from.file.ms,1746488713395000000,1746488759374000000,0
workspaceModel.global.updates.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1746488713395000000,1746488759374000000,0
jps.library.entities.serializer.save.entities.ms,1746488713395000000,1746488759374000000,0
workspaceModel.global.updates.count,1746488713395000000,1746488759374000000,0
jps.global.handle.changed.events.ms,1746488713395000000,1746488759374000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1746488713395000000,1746488759374000000,0
jps.app.storage.content.reader.load.component.ms,1746488713395000000,1746488759374000000,1
jps.library.entities.serializer.load.entities.ms,1746488713395000000,1746488759374000000,0
NonBlockingReadAction.finalizedExecutionsCount,1746488713395000000,1746488759374000000,1
AWTEventQueue.dispatchTimeTotalNS,1746488713395000000,1746488759374000000,3712260030
NonBlockingReadAction.failedExecutionsCount,1746488713395000000,1746488759374000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1746488713395000000,1746488759374000000,127377
NonBlockingReadAction.failedExecutionTimeUs,1746488713395000000,1746488759374000000,0
DirectByteBufferAllocator.misses,1746488713395000000,1746488759374000000,403
FilePageCacheLockFree.housekeeperTurnsSkipped,1746488713395000000,1746488759374000000,34946
FilePageCacheLockFree.totalHeapBytesAllocated,1746488713395000000,1746488759374000000,0
StorageLockContext.competingThreads.max,1746488713395000000,1746488759374000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1746488713395000000,1746488759374000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1746488713395000000,1746488759374000000,94
FilePageCacheLockFree.totalPagesRequestsMs,1746488713395000000,1746488759374000000,4
FilePageCacheLockFree.totalPagesReadMs,1746488713395000000,1746488759374000000,1
FilePageCache.totalPageDisposalsUs,1746488713395000000,1746488759374000000,1744
FilePageCacheLockFree.totalBytesWritten,1746488713395000000,1746488759374000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1746488713395000000,1746488759374000000,0
FilePageCacheLockFree.totalPagesHandedOver,1746488713395000000,1746488759374000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1746488713395000000,1746488759374000000,16384
FilePageCache.totalPageLoadsUs,1746488713395000000,1746488759374000000,170252
FilePageCacheLockFree.totalPagesRequested,1746488713395000000,1746488759374000000,4
FilePageCacheLockFree.totalHeapBytesReclaimed,1746488713395000000,1746488759374000000,0
FilePageCacheLockFree.totalBytesRead,1746488713395000000,1746488759374000000,8720
FilePageCache.pageHits,1746488713395000000,1746488759374000000,0
StorageLockContext.competingThreads.90P,1746488713395000000,1746488759374000000,0
FilePageCache.pageLoads,1746488713395000000,1746488759374000000,404
FilePageCache.maxRegisteredFiles,1746488713395000000,1746488759374000000,1102
FilePageCacheLockFree.heapBytesInUse,1746488713395000000,1746488759374000000,0
StorageLockContext.competingThreads.avg,1746488713395000000,1746488759374000000,0.0
FilePageCache.pageFastCacheHits,1746488713395000000,1746488759374000000,8800
FilePageCache.maxCacheSizeInBytes,1746488713395000000,1746488759374000000,418398208
FilePageCacheLockFree.totalPagesWriteMs,1746488713395000000,1746488759374000000,0
FilePageCache.disposedBuffers,1746488713395000000,1746488759374000000,404
FileChannelInterruptsRetryer.totalRetriedAttempts,1746488713395000000,1746488759374000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1746488713395000000,1746488759374000000,16384
FilePageCacheLockFree.totalBytesRequested,1746488713395000000,1746488759374000000,32768
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1746488713395000000,1746488759374000000,41975808
FilePageCacheLockFree.totalPagesReclaimed,1746488713395000000,1746488759374000000,2
DirectByteBufferAllocator.reclaimed,1746488713395000000,1746488759374000000,47
FilePageCacheLockFree.totalPagesAllocated,1746488713395000000,1746488759374000000,2
FilePageCacheLockFree.nativeBytesInUse,1746488713395000000,1746488759374000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1746488713395000000,1746488759374000000,2
FilePageCacheLockFree.totalPagesWritten,1746488713395000000,1746488759374000000,0
FilePageCache.capacityInBytes,1746488713395000000,1746488759374000000,503316478
FilePageCacheLockFree.housekeeperTimeSpentMs,1746488713395000000,1746488759374000000,174
FilePageCache.uncachedFileAccess,1746488713395000000,1746488759374000000,239
